report_id,session_id,user_id,lat,lon,timestamp,review_text,threat_label,severity_score,location_name
R000536,S0098,U4358,30.734278,76.779089,2025-09-25T23:57:06,Auto driver refused meter and behaved aggressively near Chandigarh Sector 17.,unsafe_transport,0.447,Chandigarh Sector 17
R000286,S0051,U9641,27.586817,91.861757,2025-09-08T18:05:19,Group of men assaulted me close to Tawang. Reported to local police but no help.,assault,0.804,Tawang
R000159,S0029,U8229,25.311681,82.974311,2025-08-01T11:09:49,Auto driver refused meter and behaved aggressively near Varanasi Dashashwamedh Ghat.,unsafe_transport,0.623,Varanasi Dashashwamedh Ghat
R000033,S0007,U7234,8.486446,76.936536,2025-09-17T12:04:41,"Taxi driver tried to drive off-route near Kovalam, Trivandrum. Happened at night.",unsafe_transport,0.628,"Kovalam, Trivandrum"
R000418,S0076,U7808,26.84784,80.94508,2025-08-03T17:10:45,Auto driver refused meter and behaved aggressively near Lucknow Hazratganj.,unsafe_transport,0.636,Lucknow Hazratganj
R000059,S0011,U2699,12.976331,77.592534,2025-08-23T20:17:21,"I faced harassment near Cubbon Park, Bengaluru. People were catcalling and it felt unsafe. Took place during peak hours.",harassment,0.662,"Cubbon Park, Bengaluru"
R000265,S0048,U5691,9.498168,76.338597,2025-07-09T10:47:25,Auto driver refused meter and behaved aggressively near Alleppey Backwaters.,unsafe_transport,0.535,Alleppey Backwaters
R000485,S0091,U6159,19.813564,85.831027,2025-08-21T22:07:30,I got scammed by a taxi driver around Puri Jagannath Temple. They overcharged and threatened me. I was alone at that time.,scam,0.441,Puri Jagannath Temple
R000200,S0037,U6869,26.846288,80.947,2025-08-16T11:30:56,I got scammed by a taxi driver around Lucknow Hazratganj. They overcharged and threatened me.,scam,0.4,Lucknow Hazratganj
R000028,S0006,U4810,27.175122,78.04168,2025-07-22T08:43:01,"I was attacked near Taj Mahal, Agra. Got hurt and need police help.",assault,1.0,"Taj Mahal, Agra"
R000585,S0108,U9639,26.912456,75.787482,2025-08-30T22:02:17,"Boat operator was reckless near Pink City, Jaipur and it felt unsafe.",unsafe_transport,0.394,"Pink City, Jaipur"
R000293,S0052,U2721,9.966017,76.240805,2025-09-25T13:08:06,"Physical assault happened near Fort Kochi, Kochi during the night.",assault,0.926,"Fort Kochi, Kochi"
R000206,S0038,U5326,30.08748,78.263922,2025-08-24T18:50:17,Someone stole my backpack at Rishikesh Laxman Jhula while I was on my phone. Witnessed by many tourists.,theft,0.808,Rishikesh Laxman Jhula
R000577,S0106,U8269,27.616508,93.828724,2025-08-26T13:01:35,Someone stole my backpack at Ziro Valley while I was on my phone.,theft,0.654,Ziro Valley
R000363,S0065,U3092,27.03929,88.263012,2025-08-04T00:57:50,I got scammed by a taxi driver around Darjeeling Mall. They overcharged and threatened me. I was alone at that time.,scam,0.386,Darjeeling Mall
R000362,S0065,U3092,27.04161,88.262446,2025-07-22T18:13:57,Auto driver refused meter and behaved aggressively near Darjeeling Mall.,unsafe_transport,0.622,Darjeeling Mall
R000154,S0028,U4665,19.099976,72.827873,2025-07-18T14:39:03,"Person fainted near Juhu Beach, Mumbai and there was delay in help.",medical_emergency,0.797,"Juhu Beach, Mumbai"
R000625,S0116,U5244,28.524489,77.185478,2025-08-28T16:35:36,"Someone tried a credit-card scam near Qutub Minar, Delhi.",scam,0.59,"Qutub Minar, Delhi"
R000523,S0097,U3159,24.576093,73.680476,2025-07-24T11:25:17,Physical assault happened near Udaipur Lake Pichola during the night.,assault,1.0,Udaipur Lake Pichola
R000217,S0039,U3694,12.976256,77.592797,2025-08-17T01:21:38,"Someone tried a credit-card scam near Cubbon Park, Bengaluru.",scam,0.52,"Cubbon Park, Bengaluru"
R000136,S0026,U3267,30.733102,76.778696,2025-08-13T23:57:42,Physical assault happened near Chandigarh Sector 17 during the night.,assault,0.886,Chandigarh Sector 17
R000388,S0071,U7120,19.055158,72.839956,2025-07-07T18:00:11,"Boat operator was reckless near Bandra, Mumbai and it felt unsafe.",unsafe_transport,0.478,"Bandra, Mumbai"
R000241,S0042,U4783,9.49806,76.338799,2025-07-11T18:24:36,I was attacked near Alleppey Backwaters. Got hurt and need police help. Witnessed by many tourists.,assault,0.847,Alleppey Backwaters
R000397,S0073,U7459,11.623321,92.726428,2025-09-23T10:49:39,Verbal harassment at Andaman Port Blair when I was walking alone.,harassment,0.691,Andaman Port Blair
R000475,S0089,U4665,26.297694,73.019032,2025-09-12T22:36:14,Phone stolen at Jodhpur Mehrangarh. Be careful around the market.,theft,0.779,Jodhpur Mehrangarh
R000401,S0073,U7459,11.623469,92.726568,2025-09-19T13:57:23,Phone stolen at Andaman Port Blair. Be careful around the market.,theft,0.844,Andaman Port Blair
R000157,S0029,U8229,25.310068,82.973398,2025-07-19T20:10:30,My bag was snatched near Varanasi Dashashwamedh Ghat. I lost my phone and wallet.,theft,0.841,Varanasi Dashashwamedh Ghat
R000694,S0130,U4779,19.887262,86.09437,2025-08-23T05:42:23,"Physical assault happened near Konark Sun Temple area during the night. Lost valuables worth approx. INR 15,000.",assault,0.863,Konark Sun Temple area
R000323,S0057,U1628,18.922327,72.834601,2025-08-20T15:28:53,"I got scammed by a taxi driver around Gateway of India, Mumbai. They overcharged and threatened me.",scam,0.4,"Gateway of India, Mumbai"
R000580,S0107,U9200,26.2971,73.018833,2025-09-27T02:01:49,Vandalism noticed near Jodhpur Mehrangarh. Statues/graffiti and broken benches.,vandalism,0.432,Jodhpur Mehrangarh
R000462,S0087,U6938,26.92391,75.825456,2025-09-11T11:25:20,"Verbal harassment at Hawa Mahal, Jaipur when I was walking alone.",harassment,0.732,"Hawa Mahal, Jaipur"
R000524,S0097,U3159,24.57593,73.680291,2025-09-23T03:44:21,I misplaced my passport at Udaipur Lake Pichola. Please help locate. Took place during peak hours.,lost,0.339,Udaipur Lake Pichola
R000100,S0018,U4994,19.099364,72.82588,2025-07-23T20:46:55,"Auto driver refused meter and behaved aggressively near Juhu Beach, Mumbai.",unsafe_transport,0.58,"Juhu Beach, Mumbai"
R000662,S0123,U1709,26.84794,80.9473,2025-07-09T18:59:51,Phone stolen at Lucknow Hazratganj. Be careful around the market.,theft,0.799,Lucknow Hazratganj
R000273,S0048,U5691,9.498036,76.338013,2025-07-26T17:15:35,Auto driver refused meter and behaved aggressively near Alleppey Backwaters.,unsafe_transport,0.595,Alleppey Backwaters
R000238,S0042,U4783,9.498076,76.339139,2025-09-19T13:25:57,I got scammed by a taxi driver around Alleppey Backwaters. They overcharged and threatened me. I was alone at that time.,scam,0.614,Alleppey Backwaters
R000213,S0039,U3694,12.976243,77.593071,2025-08-04T20:27:34,"Someone tried a credit-card scam near Cubbon Park, Bengaluru. Took place during peak hours.",scam,0.589,"Cubbon Park, Bengaluru"
R000360,S0064,U3806,26.847752,80.947035,2025-08-06T01:24:11,Taxi driver tried to drive off-route near Lucknow Hazratganj.,unsafe_transport,0.476,Lucknow Hazratganj
R000308,S0055,U7438,8.737831,76.71599,2025-09-02T16:15:47,"Taxi driver tried to drive off-route near Varkala Beach, Kerala.",unsafe_transport,0.608,"Varkala Beach, Kerala"
R000122,S0023,U1531,28.632669,77.21964,2025-07-12T18:46:39,"Pickpocketing at Connaught Place, Delhi — they took my wallet during the crowd. Took place during peak hours.",theft,0.729,"Connaught Place, Delhi"
R000555,S0102,U6890,12.975852,77.605034,2025-08-24T10:25:35,Phone stolen at Bengaluru MG Road. Be careful around the market.,theft,0.704,Bengaluru MG Road
R000597,S0110,U7374,29.946007,78.164166,2025-07-27T21:00:09,I was attacked near Haridwar Har-ki-Pauri. Got hurt and need police help.,assault,0.84,Haridwar Har-ki-Pauri
R000026,S0005,U4960,27.617471,93.829947,2025-07-26T17:57:31,Pickpocketing at Ziro Valley — they took my wallet during the crowd.,theft,0.806,Ziro Valley
R000271,S0048,U5691,9.498098,76.338798,2025-08-14T17:45:06,Auto driver refused meter and behaved aggressively near Alleppey Backwaters. Happened at night.,unsafe_transport,0.437,Alleppey Backwaters
R000683,S0127,U7414,28.633864,77.221056,2025-07-13T04:50:17,"Fake guide scammed me at Connaught Place, Delhi promising discount tours.",scam,0.372,"Connaught Place, Delhi"
R000242,S0042,U4783,9.499,76.338902,2025-09-17T07:11:31,Left my bag on a bench near Alleppey Backwaters and couldn't find it. Witnessed by many tourists.,lost,0.538,Alleppey Backwaters
R000550,S0101,U6525,11.933803,79.830361,2025-08-05T00:31:05,"Minor road accident near Pondicherry Promenade. No ambulance available immediately. Lost valuables worth approx. INR 15,000.",accident,0.945,Pondicherry Promenade
R000661,S0123,U1709,26.846992,80.946996,2025-08-21T02:34:55,Property damage near Lucknow Hazratganj late at night.,vandalism,0.229,Lucknow Hazratganj
R000554,S0102,U6890,12.975801,77.60511,2025-07-04T23:54:17,Verbal harassment at Bengaluru MG Road when I was walking alone. Witnessed by many tourists.,harassment,0.726,Bengaluru MG Road
R000072,S0014,U2115,13.009552,80.267767,2025-08-11T19:20:56,"Someone stole my backpack at Besant Nagar, Chennai while I was on my phone.",theft,0.765,"Besant Nagar, Chennai"
R000123,S0023,U1531,28.631167,77.220821,2025-09-05T11:04:01,"Minor road accident near Connaught Place, Delhi. No ambulance available immediately.",accident,0.923,"Connaught Place, Delhi"
R000628,S0116,U5244,28.524494,77.185763,2025-09-11T08:36:10,"My bag was snatched near Qutub Minar, Delhi. I lost my phone and wallet. Witnessed by many tourists.",theft,0.682,"Qutub Minar, Delhi"
R000227,S0040,U1007,26.912368,75.787503,2025-08-10T07:40:57,"Group of men assaulted me close to Pink City, Jaipur.",assault,1.0,"Pink City, Jaipur"
R000125,S0023,U1531,28.631847,77.220014,2025-08-14T10:33:08,"My bag was snatched near Connaught Place, Delhi. I lost my phone and wallet.",theft,0.614,"Connaught Place, Delhi"
R000476,S0090,U2452,28.525308,77.1848,2025-07-10T06:14:22,"Boat operator was reckless near Qutub Minar, Delhi and it felt unsafe.",unsafe_transport,0.557,"Qutub Minar, Delhi"
R000681,S0127,U7414,28.633445,77.222421,2025-07-19T05:58:07,"I got scammed by a taxi driver around Connaught Place, Delhi. They overcharged and threatened me. Happened at night.",scam,0.627,"Connaught Place, Delhi"
R000124,S0023,U1531,28.632463,77.219841,2025-09-02T14:53:34,"My bag was snatched near Connaught Place, Delhi. I lost my phone and wallet. Happened at night.",theft,0.551,"Connaught Place, Delhi"
R000373,S0067,U3070,26.9161,70.908772,2025-08-04T00:36:16,My bag was snatched near Jaisalmer Fort. I lost my phone and wallet.,theft,0.607,Jaisalmer Fort
R000088,S0016,U7054,12.975968,77.604645,2025-07-14T05:31:04,Minor road accident near Bengaluru MG Road. No ambulance available immediately. Reported to local police but no help.,accident,0.798,Bengaluru MG Road
R000311,S0056,U4081,27.586098,91.863914,2025-07-05T13:54:54,My bag was snatched near Tawang. I lost my phone and wallet.,theft,0.716,Tawang
R000013,S0003,U6641,18.520301,73.856728,2025-09-01T09:35:47,Phone stolen at Pune FC road area. Be careful around the market. Witnessed by many tourists.,theft,0.751,Pune FC road area
R000030,S0006,U4810,27.174603,78.044031,2025-09-25T18:47:56,"Pickpocketing at Taj Mahal, Agra — they took my wallet during the crowd.",theft,0.648,"Taj Mahal, Agra"
R000365,S0065,U3092,27.040836,88.262571,2025-08-21T20:34:30,Verbal harassment at Darjeeling Mall when I was walking alone.,harassment,0.57,Darjeeling Mall
R000024,S0005,U4960,27.617031,93.829298,2025-07-10T20:28:06,Someone was following me near Ziro Valley— very suspicious.,suspicious_person,0.476,Ziro Valley
R000491,S0091,U6159,19.81339,85.831055,2025-08-04T12:20:49,Public infrastructure vandalized at Puri Jagannath Temple. I was alone at that time.,vandalism,0.329,Puri Jagannath Temple
R000220,S0040,U1007,26.912202,75.786644,2025-08-16T03:01:12,"Verbal harassment at Pink City, Jaipur when I was walking alone.",harassment,0.456,"Pink City, Jaipur"
R000075,S0014,U2115,13.009149,80.267513,2025-07-18T14:07:48,"Fake guide scammed me at Besant Nagar, Chennai promising discount tours.",scam,0.633,"Besant Nagar, Chennai"
R000398,S0073,U7459,11.62416,92.727121,2025-07-14T08:16:34,Auto driver refused meter and behaved aggressively near Andaman Port Blair.,unsafe_transport,0.591,Andaman Port Blair
R000312,S0056,U4081,27.587443,91.86422,2025-08-11T22:40:24,My bag was snatched near Tawang. I lost my phone and wallet. Reported to local police but no help.,theft,0.629,Tawang
R000410,S0075,U9464,15.545816,73.756364,2025-09-22T02:40:16,I got scammed by a taxi driver around Goa - Calangute. They overcharged and threatened me.,scam,0.611,Goa - Calangute
R000455,S0086,U2886,17.361361,78.474776,2025-09-05T04:41:41,Auto driver refused meter and behaved aggressively near Hyderabad Charminar.,unsafe_transport,0.465,Hyderabad Charminar
R000133,S0025,U6699,22.545786,88.346722,2025-09-01T13:36:43,I faced harassment near Kolkata New Market. People were catcalling and it felt unsafe.,harassment,0.576,Kolkata New Market
R000652,S0121,U5998,11.62257,92.726313,2025-07-08T16:49:49,I misplaced my passport at Andaman Port Blair. Please help locate. Witnessed by many tourists.,lost,0.542,Andaman Port Blair
R000390,S0071,U7120,19.054532,72.840378,2025-07-12T17:30:19,"Lost my wallet and ID near Bandra, Mumbai after crowding. Witnessed by many tourists.",lost,0.389,"Bandra, Mumbai"
R000321,S0057,U1628,18.921986,72.834699,2025-07-24T01:04:57,"Fake guide scammed me at Gateway of India, Mumbai promising discount tours. I was alone at that time.",scam,0.505,"Gateway of India, Mumbai"
R000474,S0089,U4665,26.297393,73.017554,2025-07-27T18:30:43,I misplaced my passport at Jodhpur Mehrangarh. Please help locate. Took place during peak hours.,lost,0.262,Jodhpur Mehrangarh
R000503,S0094,U2800,8.088166,77.538207,2025-08-12T09:01:15,My bag was snatched near Kanyakumari. I lost my phone and wallet. I was alone at that time.,theft,0.727,Kanyakumari
R000385,S0071,U7120,19.054197,72.840161,2025-06-30T10:40:07,"Boat operator was reckless near Bandra, Mumbai and it felt unsafe.",unsafe_transport,0.576,"Bandra, Mumbai"
R000387,S0071,U7120,19.053984,72.839965,2025-07-12T19:38:49,"I got scammed by a taxi driver around Bandra, Mumbai. They overcharged and threatened me.",scam,0.365,"Bandra, Mumbai"
R000073,S0014,U2115,13.009718,80.26739,2025-07-06T20:45:03,"Left my bag on a bench near Besant Nagar, Chennai and couldn't find it.",lost,0.506,"Besant Nagar, Chennai"
R000096,S0017,U7707,30.733156,76.778883,2025-07-14T11:12:24,Public infrastructure vandalized at Chandigarh Sector 17.,vandalism,0.17,Chandigarh Sector 17
R000561,S0103,U1433,18.519927,73.856902,2025-07-26T03:11:22,Saw a suspicious person lurking near Pune FC road area for hours.,suspicious_person,0.626,Pune FC road area
R000516,S0096,U9927,18.922012,72.834769,2025-07-21T01:33:04,"I got scammed by a taxi driver around Gateway of India, Mumbai. They overcharged and threatened me.",scam,0.4,"Gateway of India, Mumbai"
R000619,S0115,U2945,18.519887,73.855786,2025-06-30T11:18:12,Eve-teasing incident near Pune FC road area— women should avoid the area at night. Witnessed by many tourists.,harassment,0.719,Pune FC road area
R000604,S0112,U6367,27.587748,91.864245,2025-08-19T12:56:37,Auto driver refused meter and behaved aggressively near Tawang. Took place during peak hours.,unsafe_transport,0.505,Tawang
R000611,S0113,U3419,34.152477,77.578719,2025-08-12T06:12:42,Boat operator was reckless near Leh Market and it felt unsafe.,unsafe_transport,0.369,Leh Market
R000508,S0094,U2800,8.088168,77.538079,2025-07-29T06:53:52,Someone stole my backpack at Kanyakumari while I was on my phone.,theft,0.652,Kanyakumari
R000436,S0080,U3272,33.985072,75.239963,2025-09-02T22:24:58,Boat operator was reckless near Amarnath base area (approx) and it felt unsafe.,unsafe_transport,0.618,Amarnath base area (approx)
R000048,S0010,U2739,28.632355,77.220253,2025-08-10T16:18:48,"Someone stole my backpack at Connaught Place, Delhi while I was on my phone. Reported to local police but no help.",theft,0.764,"Connaught Place, Delhi"
R000382,S0071,U7120,19.054096,72.840039,2025-07-27T20:54:13,"Physical assault happened near Bandra, Mumbai during the night.",assault,0.801,"Bandra, Mumbai"
R000039,S0008,U2101,11.406411,76.694553,2025-08-26T09:19:11,I got scammed by a taxi driver around Ooty. They overcharged and threatened me.,scam,0.55,Ooty
R000196,S0036,U1727,29.944685,78.16599,2025-07-26T01:38:09,I faced harassment near Haridwar Har-ki-Pauri. People were catcalling and it felt unsafe.,harassment,0.705,Haridwar Har-ki-Pauri
R000272,S0048,U5691,9.499513,76.339421,2025-08-17T07:27:34,Eve-teasing incident near Alleppey Backwaters— women should avoid the area at night. Took place during peak hours.,harassment,0.667,Alleppey Backwaters
R000556,S0102,U6890,12.976021,77.604337,2025-09-13T04:39:49,Verbal harassment at Bengaluru MG Road when I was walking alone. I was alone at that time.,harassment,0.453,Bengaluru MG Road
R000237,S0042,U4783,9.497944,76.339194,2025-08-04T23:18:09,"Auto driver refused meter and behaved aggressively near Alleppey Backwaters. Lost valuables worth approx. INR 15,000.",unsafe_transport,0.587,Alleppey Backwaters
R000179,S0033,U3152,27.175135,78.042122,2025-08-16T13:33:28,"Boat operator was reckless near Taj Mahal, Agra and it felt unsafe.",unsafe_transport,0.641,"Taj Mahal, Agra"
R000046,S0010,U2739,28.633148,77.219338,2025-08-29T19:25:45,"I misplaced my passport at Connaught Place, Delhi. Please help locate.",lost,0.419,"Connaught Place, Delhi"
R000297,S0053,U8145,31.104803,77.1734,2025-08-17T04:06:25,Someone tried a credit-card scam near Shimla Mall. Reported to local police but no help.,scam,0.568,Shimla Mall
R000494,S0092,U9608,11.4063,76.695156,2025-07-19T13:51:20,Eve-teasing incident near Ooty— women should avoid the area at night.,harassment,0.524,Ooty
R000113,S0021,U9129,8.737669,76.715965,2025-09-23T01:55:12,"Bike collided near Varkala Beach, Kerala and rider is badly hurt.",accident,0.99,"Varkala Beach, Kerala"
R000634,S0118,U8913,8.088547,77.538505,2025-08-09T03:11:18,I got scammed by a taxi driver around Kanyakumari. They overcharged and threatened me.,scam,0.375,Kanyakumari
R000253,S0045,U3994,25.595176,85.139784,2025-09-13T11:29:26,Verbal harassment at Patna Gandhi Maidan when I was walking alone.,harassment,0.579,Patna Gandhi Maidan
R000193,S0035,U5346,34.083765,74.798389,2025-09-09T14:49:52,Pickpocketing at Srinagar Dal Lake — they took my wallet during the crowd.,theft,0.739,Srinagar Dal Lake
R000076,S0014,U2115,13.009046,80.268168,2025-07-28T19:35:02,"Verbal harassment at Besant Nagar, Chennai when I was walking alone.",harassment,0.56,"Besant Nagar, Chennai"
R000301,S0054,U9587,24.576057,73.680245,2025-08-06T00:27:12,Public infrastructure vandalized at Udaipur Lake Pichola.,vandalism,0.243,Udaipur Lake Pichola
R000175,S0032,U4360,12.424229,75.737444,2025-09-05T02:37:20,Eve-teasing incident near Coorg Madikeri— women should avoid the area at night.,harassment,0.725,Coorg Madikeri
R000083,S0015,U7462,18.922012,72.834102,2025-08-27T03:42:56,"Someone stole my backpack at Gateway of India, Mumbai while I was on my phone.",theft,0.801,"Gateway of India, Mumbai"
R000170,S0031,U6017,22.30728,88.767382,2025-09-01T12:44:22,"Auto driver refused meter and behaved aggressively near Sundarbans Entry. Lost valuables worth approx. INR 15,000.",unsafe_transport,0.596,Sundarbans Entry
R000618,S0115,U2945,18.520426,73.856812,2025-07-28T09:59:19,I misplaced my passport at Pune FC road area. Please help locate.,lost,0.41,Pune FC road area
R000094,S0017,U7707,30.733363,76.779042,2025-09-21T20:31:57,Public infrastructure vandalized at Chandigarh Sector 17.,vandalism,0.291,Chandigarh Sector 17
R000586,S0108,U9639,26.911828,75.787154,2025-09-26T13:59:24,"Eve-teasing incident near Pink City, Jaipur— women should avoid the area at night.",harassment,0.564,"Pink City, Jaipur"
R000176,S0032,U4360,12.424393,75.737954,2025-09-16T17:06:38,Eve-teasing incident near Coorg Madikeri— women should avoid the area at night. Reported to local police but no help.,harassment,0.702,Coorg Madikeri
R000218,S0039,U3694,12.9758,77.592814,2025-08-31T23:11:16,"Boat operator was reckless near Cubbon Park, Bengaluru and it felt unsafe.",unsafe_transport,0.622,"Cubbon Park, Bengaluru"
R000512,S0095,U1647,17.363009,78.474824,2025-08-07T17:50:57,Someone stole my backpack at Hyderabad Charminar while I was on my phone.,theft,0.764,Hyderabad Charminar
R000037,S0008,U2101,11.406605,76.694421,2025-07-16T10:59:07,Someone was following me near Ooty— very suspicious. Took place during peak hours.,suspicious_person,0.402,Ooty
R000067,S0012,U7883,13.048916,80.282677,2025-07-02T04:05:27,"Taxi driver tried to drive off-route near Marina Beach, Chennai.",unsafe_transport,0.641,"Marina Beach, Chennai"
R000682,S0127,U7414,28.632449,77.220047,2025-08-08T01:57:27,"Left my bag on a bench near Connaught Place, Delhi and couldn't find it.",lost,0.528,"Connaught Place, Delhi"
R000603,S0111,U8790,22.545279,88.342476,2025-07-26T05:47:44,Someone tried a credit-card scam near Kolkata Victoria Memorial area. Reported to local police but no help.,scam,0.526,Kolkata Victoria Memorial area
R000015,S0003,U6641,18.520037,73.856584,2025-07-04T21:56:52,I was attacked near Pune FC road area. Got hurt and need police help.,assault,1.0,Pune FC road area
R000449,S0084,U8077,27.616921,93.829787,2025-09-10T17:25:15,Auto driver refused meter and behaved aggressively near Ziro Valley.,unsafe_transport,0.401,Ziro Valley
R000144,S0027,U5709,19.098736,72.827433,2025-08-03T13:57:52,"Phone stolen at Juhu Beach, Mumbai. Be careful around the market.",theft,0.644,"Juhu Beach, Mumbai"
R000570,S0104,U8722,26.912384,75.785669,2025-09-10T01:20:29,"Someone was following me near Pink City, Jaipur— very suspicious.",suspicious_person,0.622,"Pink City, Jaipur"
R000668,S0124,U1734,19.888187,86.094565,2025-07-12T07:24:11,Someone was following me near Konark Sun Temple area— very suspicious.,suspicious_person,0.684,Konark Sun Temple area
R000130,S0024,U8805,11.964036,92.967231,2025-07-23T09:08:44,My bag was snatched near Havelock Island. I lost my phone and wallet. Took place during peak hours.,theft,0.681,Havelock Island
R000299,S0053,U8145,31.105366,77.173486,2025-08-01T23:23:51,Someone tried a credit-card scam near Shimla Mall.,scam,0.526,Shimla Mall
R000186,S0034,U9008,27.584471,91.864614,2025-08-23T14:31:38,Fake guide scammed me at Tawang promising discount tours.,scam,0.609,Tawang
R000421,S0076,U7808,26.847191,80.947283,2025-08-13T03:37:29,Someone stole my backpack at Lucknow Hazratganj while I was on my phone.,theft,0.583,Lucknow Hazratganj
R000572,S0106,U8269,27.614625,93.828872,2025-07-04T05:40:42,Person fainted near Ziro Valley and there was delay in help.,medical_emergency,0.961,Ziro Valley
R000174,S0031,U6017,22.308616,88.768691,2025-08-14T22:40:03,Boat operator was reckless near Sundarbans Entry and it felt unsafe.,unsafe_transport,0.514,Sundarbans Entry
R000131,S0025,U6699,22.54586,88.349431,2025-07-01T04:15:01,Verbal harassment at Kolkata New Market when I was walking alone.,harassment,0.579,Kolkata New Market
R000161,S0029,U8229,25.310394,82.974976,2025-07-11T16:26:22,Someone tried a credit-card scam near Varanasi Dashashwamedh Ghat.,scam,0.634,Varanasi Dashashwamedh Ghat
R000163,S0030,U1722,26.92384,75.826481,2025-07-05T20:18:12,"Group of men assaulted me close to Hawa Mahal, Jaipur. Witnessed by many tourists.",assault,0.827,"Hawa Mahal, Jaipur"
R000419,S0076,U7808,26.847807,80.947792,2025-07-24T22:21:49,"I misplaced my passport at Lucknow Hazratganj. Please help locate. Lost valuables worth approx. INR 15,000.",lost,0.342,Lucknow Hazratganj
R000422,S0076,U7808,26.846331,80.946949,2025-07-28T21:49:37,Verbal harassment at Lucknow Hazratganj when I was walking alone.,harassment,0.732,Lucknow Hazratganj
R000525,S0097,U3159,24.575564,73.680538,2025-08-21T07:24:53,Fake guide scammed me at Udaipur Lake Pichola promising discount tours.,scam,0.618,Udaipur Lake Pichola
R000127,S0024,U8805,11.96338,92.966501,2025-09-03T18:23:06,Pickpocketing at Havelock Island — they took my wallet during the crowd.,theft,0.788,Havelock Island
R000166,S0030,U1722,26.922495,75.825851,2025-09-24T07:03:45,"Fake guide scammed me at Hawa Mahal, Jaipur promising discount tours.",scam,0.557,"Hawa Mahal, Jaipur"
R000063,S0012,U7883,13.047904,80.282081,2025-07-29T04:01:31,"I faced harassment near Marina Beach, Chennai. People were catcalling and it felt unsafe.",harassment,0.564,"Marina Beach, Chennai"
R000630,S0117,U7562,27.338265,88.604893,2025-09-15T19:33:44,Left my bag on a bench near Gangtok MG Marg and couldn't find it.,lost,0.293,Gangtok MG Marg
R000267,S0048,U5691,9.497205,76.337662,2025-08-28T21:52:15,Pickpocketing at Alleppey Backwaters — they took my wallet during the crowd.,theft,0.678,Alleppey Backwaters
R000350,S0062,U2826,32.219022,76.323624,2025-08-08T12:52:13,Taxi driver tried to drive off-route near Dharamshala.,unsafe_transport,0.428,Dharamshala
R000287,S0051,U9641,27.586387,91.863318,2025-07-07T14:42:24,"Eve-teasing incident near Tawang— women should avoid the area at night. Lost valuables worth approx. INR 15,000.",harassment,0.619,Tawang
R000279,S0050,U4405,19.88703,86.094427,2025-07-04T04:32:11,Someone was following me near Konark Sun Temple area— very suspicious.,suspicious_person,0.634,Konark Sun Temple area
R000673,S0124,U1734,19.886796,86.094605,2025-08-24T09:08:51,I got scammed by a taxi driver around Konark Sun Temple area. They overcharged and threatened me.,scam,0.508,Konark Sun Temple area
R000427,S0078,U1248,8.486235,76.936557,2025-06-30T19:07:08,"Lost my wallet and ID near Kovalam, Trivandrum after crowding.",lost,0.332,"Kovalam, Trivandrum"
